Infinitive,ры́скать
Zaliznyak Class,6a // 1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ры́щущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,ры́скающий
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,ры́скавший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,ры́ская
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,short
PART:4:Participle Text,ры́ща
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,ры́скав
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,ры́скавши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,ры́щу
2nd Sing,ры́щешь
3rd Sing,ры́щет
1st Pl,ры́щем
2nd Pl,ры́щете
3rd Pl,ры́щут
Past M,ры́скал
Past F,ры́скала
Past N,ры́скало
Past PL,ры́скали
Imp S,ры́скай
Imp PL,ры́скайте
