Infinitive,лучи́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,луча́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,лучи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,луча́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,лучи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,лучу́сь
2nd Sing,лучи́шься
3rd Sing,лучи́тся
1st Pl,лучи́мся
2nd Pl,лучи́тесь
3rd Pl,луча́тся
Past M,лучи́лся
Past F,лучи́лась
Past N,лучи́лось
Past PL,лучи́лись
Imp S,лучи́сь
Imp PL,лучи́тесь
