Infinitive,лупи́ть
Zaliznyak Class,4c④
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,лу́пящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,лупи́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,лупи́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,лу́пленный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,лупя́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,лупи́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,лупи́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,луплю́
2nd Sing,лу́пишь
3rd Sing,лу́пит
1st Pl,лу́пим
2nd Pl,лу́пите
3rd Pl,лу́пят
Past M,лупи́л
Past F,лупи́ла
Past N,лупи́ло
Past PL,лупи́ли
Imp S,лупи́
Imp PL,лупи́те
