Infinitive,лука́вить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,лука́вящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,лука́вивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,лука́вя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,лука́вив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,лука́вивши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,лука́влю
2nd Sing,лука́вишь
3rd Sing,лука́вит
1st Pl,лука́вим
2nd Pl,лука́вите
3rd Pl,лука́вят
Past M,лука́вил
Past F,лука́вила
Past N,лука́вило
Past PL,лука́вили
Imp S,лука́вь
Imp PL,лука́вьте
