Infinitive,лежа́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,лежа́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,лежа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,лёжа
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,лежа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,лежа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,лежу́
2nd Sing,лежи́шь
3rd Sing,лежи́т
1st Pl,лежи́м
2nd Pl,лежи́те
3rd Pl,лежа́т
Past M,лежа́л
Past F,лежа́ла
Past N,лежа́ло
Past PL,лежа́ли
Imp S,лежи́
Imp PL,лежи́те
