Infinitive,ле́зть
Zaliznyak Class,7a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ле́зущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ле́зший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ле́зя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ле́зши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ле́зу
2nd Sing,ле́зешь
3rd Sing,ле́зет
1st Pl,ле́зем
2nd Pl,ле́зете
3rd Pl,ле́зут
Past M,ле́з
Past F,ле́зла
Past N,ле́зло
Past PL,ле́зли
Imp S,ле́зь
Imp PL,ле́зьте
