Infinitive,лечи́ться
Zaliznyak Class,4c④
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ле́чащийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,лечи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,леча́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,лечи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,лечу́сь
2nd Sing,ле́чишься
3rd Sing,ле́чится
1st Pl,ле́чимся
2nd Pl,ле́читесь
3rd Pl,ле́чатся
Past M,лечи́лся
Past F,лечи́лась
Past N,лечи́лось
Past PL,лечи́лись
Imp S,лечи́сь
Imp PL,лечи́тесь
