Infinitive,лепи́ться
Zaliznyak Class,4c④
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ле́пящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,лепи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,лепя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,лепи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,леплю́сь
2nd Sing,ле́пишься
3rd Sing,ле́пится
1st Pl,ле́пимся
2nd Pl,ле́питесь
3rd Pl,ле́пятся
Past M,лепи́лся
Past F,лепи́лась
Past N,лепи́лось
Past PL,лепи́лись
Imp S,лепи́сь
Imp PL,лепи́тесь
