Infinitive,лепета́ть
Zaliznyak Class,6c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,лепе́чущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,лепета́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,лепеча́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,лепета́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,лепета́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,лепечу́
2nd Sing,лепе́чешь
3rd Sing,лепе́чет
1st Pl,лепе́чем
2nd Pl,лепе́чете
3rd Pl,лепе́чут
Past M,лепета́л
Past F,лепета́ла
Past N,лепета́ло
Past PL,лепета́ли
Imp S,лепечи́
Imp PL,лепечи́те
