Infinitive,лени́ться
Zaliznyak Class,4c[④]
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,леня́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,ле́нящийся
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,лени́вшийся
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,леня́сь
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,лени́вшись
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,леню́сь
2nd Sing,ле́нишься
3rd Sing,ле́нится
1st Pl,ле́нимся
2nd Pl,ле́нитесь
3rd Pl,ле́нятся
Past M,лени́лся
Past F,лени́лась
Past N,лени́лось
Past PL,лени́лись
Imp S,лени́сь
Imp PL,лени́тесь
