Infinitive,ле́чь
Zaliznyak Class,8a/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,лёгший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,лёгши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,ля́гу
2nd Sing,ля́жешь
3rd Sing,ля́жет
1st Pl,ля́жем
2nd Pl,ля́жете
3rd Pl,ля́гут
Past M,лёг
Past F,легла́
Past N,легло́
Past PL,легли́
Imp S,ля́г
Imp PL,ля́гте
