Infinitive,ткну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ткну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ткну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,ткну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,ткну́
2nd Sing,ткнёшь
3rd Sing,ткнёт
1st Pl,ткнём
2nd Pl,ткнёте
3rd Pl,ткну́т
Past M,ткну́л
Past F,ткну́ла
Past N,ткну́ло
Past PL,ткну́ли
Imp S,ткни́
Imp PL,ткни́те
