Infinitive,ткну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ткну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ткну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,ткну́сь
2nd Sing,ткнёшься
3rd Sing,ткнётся
1st Pl,ткнёмся
2nd Pl,ткнётесь
3rd Pl,ткну́тся
Past M,ткну́лся
Past F,ткну́лась
Past N,ткну́лось
Past PL,ткну́лись
Imp S,ткни́сь
Imp PL,ткни́тесь
