Infinitive,мигну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,мигну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,мигну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,мигну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,мигну́
2nd Sing,мигнёшь
3rd Sing,мигнёт
1st Pl,мигнём
2nd Pl,мигнёте
3rd Pl,мигну́т
Past M,мигну́л
Past F,мигну́ла
Past N,мигну́ло
Past PL,мигну́ли
Imp S,мигни́
Imp PL,мигни́те
