Infinitive,мину́ть
Zaliznyak Class,3c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,мину́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,мину́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,мину́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
2nd Sing,ми́нешь
3rd Sing,ми́нет
1st Pl,ми́нем
2nd Pl,ми́нете
3rd Pl,ми́нут
Past M,мину́л
Past F,мину́ла
Past N,мину́ло
Past PL,мину́ли
Imp S,—
Imp PL,—
