Infinitive,митингова́ть
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,митингу́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,митингова́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,митингу́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,митингова́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,митингова́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,митингу́ю
2nd Sing,митингу́ешь
3rd Sing,митингу́ет
1st Pl,митингу́ем
2nd Pl,митингу́ете
3rd Pl,митингу́ют
Past M,митингова́л
Past F,митингова́ла
Past N,митингова́ло
Past PL,митингова́ли
Imp S,митингу́й
Imp PL,митингу́йте
