Infinitive,мири́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,миря́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,мири́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,миря́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,мири́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,мирю́сь
2nd Sing,мири́шься
3rd Sing,мири́тся
1st Pl,мири́мся
2nd Pl,мири́тесь
3rd Pl,миря́тся
Past M,мири́лся
Past F,мири́лась
Past N,мири́лось
Past PL,мири́лись
Imp S,мири́сь
Imp PL,мири́тесь
