Infinitive,мига́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,мига́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,мига́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,мига́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,мига́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,мига́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,мига́ю
2nd Sing,мига́ешь
3rd Sing,мига́ет
1st Pl,мига́ем
2nd Pl,мига́ете
3rd Pl,мига́ют
Past M,мига́л
Past F,мига́ла
Past N,мига́ло
Past PL,мига́ли
Imp S,мига́й
Imp PL,мига́йте
