Infinitive,шля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,шля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,шля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,шля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,шля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,шля́юсь
2nd Sing,шля́ешься
3rd Sing,шля́ется
1st Pl,шля́емся
2nd Pl,шля́етесь
3rd Pl,шля́ются
Past M,шля́лся
Past F,шля́лась
Past N,шля́лось
Past PL,шля́лись
Imp S,шля́йся
Imp PL,шля́йтесь
