Infinitive,ссуту́литься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ссуту́лившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ссуту́лившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,ссуту́люсь
2nd Sing,ссуту́лишься
3rd Sing,ссуту́лится
1st Pl,ссуту́лимся
2nd Pl,ссуту́литесь
3rd Pl,ссуту́лятся
Past M,ссуту́лился
Past F,ссуту́лилась
Past N,ссуту́лилось
Past PL,ссуту́лились
Imp S,ссуту́лься
Imp PL,ссуту́льтесь
