Infinitive,ссо́риться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ссо́рящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ссо́рившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ссо́рясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ссо́рившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ссо́рюсь
2nd Sing,ссо́ришься
3rd Sing,ссо́рится
1st Pl,ссо́римся
2nd Pl,ссо́ритесь
3rd Pl,ссо́рятся
Past M,ссо́рился
Past F,ссо́рилась
Past N,ссо́рилось
Past PL,ссо́рились
Imp S,ссо́рься
Imp PL,ссо́рьтесь
