Infinitive,упрости́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,упрости́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,упрощённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,упрости́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,упрости́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,упрощу́
2nd Sing,упрости́шь
3rd Sing,упрости́т
1st Pl,упрости́м
2nd Pl,упрости́те
3rd Pl,упростя́т
Past M,упрости́л
Past F,упрости́ла
Past N,упрости́ло
Past PL,упрости́ли
Imp S,упрости́
Imp PL,упрости́те
