Infinitive,упасти́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,упа́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,упасённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,упа́сши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,упасу́
2nd Sing,упасёшь
3rd Sing,упасёт
1st Pl,упасём
2nd Pl,упасёте
3rd Pl,упасу́т
Past M,упа́с
Past F,упасла́
Past N,упасло́
Past PL,упасли́
Imp S,упаси́
Imp PL,упаси́те
