Infinitive,упря́тать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,упря́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,упря́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,упря́тав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,упря́тавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,упря́чу
2nd Sing,упря́чешь
3rd Sing,упря́чет
1st Pl,упря́чем
2nd Pl,упря́чете
3rd Pl,упря́чут
Past M,упря́тал
Past F,упря́тала
Past N,упря́тало
Past PL,упря́тали
Imp S,упря́чь
Imp PL,упря́чьте
