Infinitive,упомяну́ть
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,упомяну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,упомя́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,упомяну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,упомяну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,упомяну́
2nd Sing,упомя́нешь
3rd Sing,упомя́нет
1st Pl,упомя́нем
2nd Pl,упомя́нете
3rd Pl,упомя́нут
Past M,упомяну́л
Past F,упомяну́ла
Past N,упомяну́ло
Past PL,упомяну́ли
Imp S,упомяни́
Imp PL,упомяни́те
