Infinitive,упроси́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,упроси́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,упро́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,упроси́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,упроси́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,упрошу́
2nd Sing,упро́сишь
3rd Sing,упро́сит
1st Pl,упро́сим
2nd Pl,упро́сите
3rd Pl,упро́сят
Past M,упроси́л
Past F,упроси́ла
Past N,упроси́ло
Past PL,упроси́ли
Imp S,упроси́
Imp PL,упроси́те
