Infinitive,упо́рствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,упо́рствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,упо́рствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,упо́рствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,упо́рствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,упо́рствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,упо́рствую
2nd Sing,упо́рствуешь
3rd Sing,упо́рствует
1st Pl,упо́рствуем
2nd Pl,упо́рствуете
3rd Pl,упо́рствуют
Past M,упо́рствовал
Past F,упо́рствовала
Past N,упо́рствовало
Past PL,упо́рствовали
Imp S,упо́рствуй
Imp PL,упо́рствуйте
