Infinitive,упива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,упива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,упива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,упива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,упива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,упива́юсь
2nd Sing,упива́ешься
3rd Sing,упива́ется
1st Pl,упива́емся
2nd Pl,упива́етесь
3rd Pl,упива́ются
Past M,упива́лся
Past F,упива́лась
Past N,упива́лось
Past PL,упива́лись
Imp S,упива́йся
Imp PL,упива́йтесь
