Infinitive,употребля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,употребля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,употребля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,употребля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,употребля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,употребля́юсь
2nd Sing,употребля́ешься
3rd Sing,употребля́ется
1st Pl,употребля́емся
2nd Pl,употребля́етесь
3rd Pl,употребля́ются
Past M,употребля́лся
Past F,употребля́лась
Past N,употребля́лось
Past PL,употребля́лись
Imp S,употребля́йся
Imp PL,употребля́йтесь
