Infinitive,упакова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,упакова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,упако́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,упакова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,упакова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,упаку́ю
2nd Sing,упаку́ешь
3rd Sing,упаку́ет
1st Pl,упаку́ем
2nd Pl,упаку́ете
3rd Pl,упаку́ют
Past M,упакова́л
Past F,упакова́ла
Past N,упакова́ло
Past PL,упакова́ли
Imp S,упаку́й
Imp PL,упаку́йте
