Infinitive,уподо́биться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уподо́бившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уподо́бившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,уподо́блюсь
2nd Sing,уподо́бишься
3rd Sing,уподо́бится
1st Pl,уподо́бимся
2nd Pl,уподо́битесь
3rd Pl,уподо́бятся
Past M,уподо́бился
Past F,уподо́билась
Past N,уподо́билось
Past PL,уподо́бились
Imp S,уподо́бься
Imp PL,уподо́бьтесь
