Infinitive,уплы́ть
Zaliznyak Class,16b/c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,уплы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уплы́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,уплы́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,уплыву́
2nd Sing,уплывёшь
3rd Sing,уплывёт
1st Pl,уплывём
2nd Pl,уплывёте
3rd Pl,уплыву́т
Past M,уплы́л
Past F,уплыла́
Past N,уплы́ло
Past PL,уплы́ли
Imp S,уплыви́
Imp PL,уплыви́те
