Infinitive,упрекну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,упрекну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,упрекну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,упрекну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,упрекну́
2nd Sing,упрекнёшь
3rd Sing,упрекнёт
1st Pl,упрекнём
2nd Pl,упрекнёте
3rd Pl,упрекну́т
Past M,упрекну́л
Past F,упрекну́ла
Past N,упрекну́ло
Past PL,упрекну́ли
Imp S,упрекни́
Imp PL,упрекни́те
