Infinitive,уплыва́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,уплыва́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,уплыва́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уплыва́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,уплыва́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,уплыва́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,уплыва́ю
2nd Sing,уплыва́ешь
3rd Sing,уплыва́ет
1st Pl,уплыва́ем
2nd Pl,уплыва́ете
3rd Pl,уплыва́ют
Past M,уплыва́л
Past F,уплыва́ла
Past N,уплыва́ло
Past PL,уплыва́ли
Imp S,уплыва́й
Imp PL,уплыва́йте
