Infinitive,упоря́дочить
Zaliznyak Class,4a③
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,упоря́дочивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,упоря́доченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,упоря́дочив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,упоря́дочивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,упоря́дочу
2nd Sing,упоря́дочишь
3rd Sing,упоря́дочит
1st Pl,упоря́дочим
2nd Pl,упоря́дочите
3rd Pl,упоря́дочат
Past M,упоря́дочил
Past F,упоря́дочила
Past N,упоря́дочило
Past PL,упоря́дочили
Imp S,упоря́дочи
Imp PL,упоря́дочьте
