Infinitive,употреби́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,употреби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,употреблённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,употреби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,употреби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,употреблю́
2nd Sing,употреби́шь
3rd Sing,употреби́т
1st Pl,употреби́м
2nd Pl,употреби́те
3rd Pl,употребя́т
Past M,употреби́л
Past F,употреби́ла
Past N,употреби́ло
Past PL,употреби́ли
Imp S,употреби́
Imp PL,употреби́те
