Infinitive,упира́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,упира́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,упира́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,упира́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,упира́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,упира́юсь
2nd Sing,упира́ешься
3rd Sing,упира́ется
1st Pl,упира́емся
2nd Pl,упира́етесь
3rd Pl,упира́ются
Past M,упира́лся
Past F,упира́лась
Past N,упира́лось
Past PL,упира́лись
Imp S,упира́йся
Imp PL,упира́йтесь
