Infinitive,упа́сть
Zaliznyak Class,7b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,упа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,упа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,упа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,упаду́
2nd Sing,упадёшь
3rd Sing,упадёт
1st Pl,упадём
2nd Pl,упадёте
3rd Pl,упаду́т
Past M,упа́л
Past F,упа́ла
Past N,упа́ло
Past PL,упа́ли
Imp S,упади́
Imp PL,упади́те
