Infinitive,уполномо́чить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уполномо́чивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уполномо́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уполномо́чив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уполномо́чивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уполномо́чу
2nd Sing,уполномо́чишь
3rd Sing,уполномо́чит
1st Pl,уполномо́чим
2nd Pl,уполномо́чите
3rd Pl,уполномо́чат
Past M,уполномо́чил
Past F,уполномо́чила
Past N,уполномо́чило
Past PL,уполномо́чили
Imp S,уполномо́чь
Imp PL,уполномо́чьте
