Infinitive,уподобля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уподобля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,уподобля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уподобля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,уподобля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уподобля́юсь
2nd Sing,уподобля́ешься
3rd Sing,уподобля́ется
1st Pl,уподобля́емся
2nd Pl,уподобля́етесь
3rd Pl,уподобля́ются
Past M,уподобля́лся
Past F,уподобля́лась
Past N,уподобля́лось
Past PL,уподобля́лись
Imp S,уподобля́йся
Imp PL,уподобля́йтесь
