Infinitive,упусти́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,упусти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,упу́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,упусти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,упусти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,упущу́
2nd Sing,упу́стишь
3rd Sing,упу́стит
1st Pl,упу́стим
2nd Pl,упу́стите
3rd Pl,упу́стят
Past M,упусти́л
Past F,упусти́ла
Past N,упусти́ло
Past PL,упусти́ли
Imp S,упусти́
Imp PL,упусти́те
