Infinitive,упомина́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,упомина́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,упомина́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,упомина́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,упомина́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,упомина́юсь
2nd Sing,упомина́ешься
3rd Sing,упомина́ется
1st Pl,упомина́емся
2nd Pl,упомина́етесь
3rd Pl,упомина́ются
Past M,упомина́лся
Past F,упомина́лась
Past N,упомина́лось
Past PL,упомина́лись
Imp S,упомина́йся
Imp PL,упомина́йтесь
