Infinitive,упова́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,упова́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,упова́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,упова́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,упова́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,упова́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,упова́ю
2nd Sing,упова́ешь
3rd Sing,упова́ет
1st Pl,упова́ем
2nd Pl,упова́ете
3rd Pl,упова́ют
Past M,упова́л
Past F,упова́ла
Past N,упова́ло
Past PL,упова́ли
Imp S,упова́й
Imp PL,упова́йте
