Infinitive,упи́ться
Zaliznyak Class,11b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,упи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,упи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,упью́сь
2nd Sing,упьёшься
3rd Sing,упьётся
1st Pl,упьёмся
2nd Pl,упьётесь
3rd Pl,упью́тся
Past M,упи́лся
Past F,упила́сь
Past N,упило́сь
Past PL,упили́сь
Imp S,упе́йся
Imp PL,упе́йтесь
