Infinitive,упражня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,упражня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,упражня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,упражня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,упражня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,упражня́юсь
2nd Sing,упражня́ешься
3rd Sing,упражня́ется
1st Pl,упражня́емся
2nd Pl,упражня́етесь
3rd Pl,упражня́ются
Past M,упражня́лся
Past F,упражня́лась
Past N,упражня́лось
Past PL,упражня́лись
Imp S,упражня́йся
Imp PL,упражня́йтесь
