Infinitive,уползти́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,упо́лзший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,упо́лзши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,уползу́
2nd Sing,уползёшь
3rd Sing,уползёт
1st Pl,уползём
2nd Pl,уползёте
3rd Pl,уползу́т
Past M,упо́лз
Past F,уползла́
Past N,уползло́
Past PL,уползли́
Imp S,уползи́
Imp PL,уползи́те
