Infinitive,упере́ть
Zaliznyak Class,9b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,упёрший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,упёртый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,упере́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,упёрши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,упру́
2nd Sing,упрёшь
3rd Sing,упрёт
1st Pl,упрём
2nd Pl,упрёте
3rd Pl,упру́т
Past M,упёр
Past F,упёрла
Past N,упёрло
Past PL,упёрли
Imp S,упри́
Imp PL,упри́те
