Infinitive,упере́ться
Zaliznyak Class,9b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,упёршийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,упёршись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,упру́сь
2nd Sing,упрёшься
3rd Sing,упрётся
1st Pl,упрёмся
2nd Pl,упрётесь
3rd Pl,упру́тся
Past M,упёрся
Past F,упёрлась
Past N,упёрлось
Past PL,упёрлись
Imp S,упри́сь
Imp PL,упри́тесь
