Infinitive,управля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,управля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,управля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,управля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,управля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,управля́юсь
2nd Sing,управля́ешься
3rd Sing,управля́ется
1st Pl,управля́емся
2nd Pl,управля́етесь
3rd Pl,управля́ются
Past M,управля́лся
Past F,управля́лась
Past N,управля́лось
Past PL,управля́лись
Imp S,управля́йся
Imp PL,управля́йтесь
