Infinitive,упо́мнить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,упо́мнивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,упо́мненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,упо́мнив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,упо́мнивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,упо́мню
2nd Sing,упо́мнишь
3rd Sing,упо́мнит
1st Pl,упо́мним
2nd Pl,упо́мните
3rd Pl,упо́мнят
Past M,упо́мнил
Past F,упо́мнила
Past N,упо́мнило
Past PL,упо́мнили
Imp S,упо́мни
Imp PL,упо́мните
