Infinitive,упра́виться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,упра́вившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,упра́вившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,упра́влюсь
2nd Sing,упра́вишься
3rd Sing,упра́вится
1st Pl,упра́вимся
2nd Pl,упра́витесь
3rd Pl,упра́вятся
Past M,упра́вился
Past F,упра́вилась
Past N,упра́вилось
Past PL,упра́вились
Imp S,упра́вься
Imp PL,упра́вьтесь
