Infinitive,вли́пнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вли́пший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вли́пши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вли́пну
2nd Sing,вли́пнешь
3rd Sing,вли́пнет
1st Pl,вли́пнем
2nd Pl,вли́пнете
3rd Pl,вли́пнут
Past M,вли́п
Past F,вли́пла
Past N,вли́пло
Past PL,вли́пли
Imp S,вли́пни
Imp PL,вли́пните
