Infinitive,влива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,влива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,влива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,влива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,влива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,влива́юсь
2nd Sing,влива́ешься
3rd Sing,влива́ется
1st Pl,влива́емся
2nd Pl,влива́етесь
3rd Pl,влива́ются
Past M,влива́лся
Past F,влива́лась
Past N,влива́лось
Past PL,влива́лись
Imp S,влива́йся
Imp PL,влива́йтесь
