Infinitive,влеза́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,влеза́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,влеза́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,влеза́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,влеза́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,влеза́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,влеза́ю
2nd Sing,влеза́ешь
3rd Sing,влеза́ет
1st Pl,влеза́ем
2nd Pl,влеза́ете
3rd Pl,влеза́ют
Past M,влеза́л
Past F,влеза́ла
Past N,влеза́ло
Past PL,влеза́ли
Imp S,влеза́й
Imp PL,влеза́йте
