Infinitive,вли́ться
Zaliznyak Class,11*b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вли́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вли́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,волью́сь
2nd Sing,вольёшься
3rd Sing,вольётся
1st Pl,вольёмся
2nd Pl,вольётесь
3rd Pl,волью́тся
Past M,вли́лся
Past F,влила́сь
Past N,влило́сь
Past PL,влили́сь
Imp S,вле́йся
Imp PL,вле́йтесь
