Infinitive,влюби́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,влюби́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,влюби́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,влюблю́сь
2nd Sing,влю́бишься
3rd Sing,влю́бится
1st Pl,влю́бимся
2nd Pl,влю́битесь
3rd Pl,влю́бятся
Past M,влюби́лся
Past F,влюби́лась
Past N,влюби́лось
Past PL,влюби́лись
Imp S,влюби́сь
Imp PL,влюби́тесь
