Infinitive,вломи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вломи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вломи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вломлю́сь
2nd Sing,вло́мишься
3rd Sing,вло́мится
1st Pl,вло́мимся
2nd Pl,вло́митесь
3rd Pl,вло́мятся
Past M,вломи́лся
Past F,вломи́лась
Past N,вломи́лось
Past PL,вломи́лись
Imp S,вломи́сь
Imp PL,вломи́тесь
