Infinitive,вложи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вложи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вло́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вложи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вложи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вложу́
2nd Sing,вло́жишь
3rd Sing,вло́жит
1st Pl,вло́жим
2nd Pl,вло́жите
3rd Pl,вло́жат
Past M,вложи́л
Past F,вложи́ла
Past N,вложи́ло
Past PL,вложи́ли
Imp S,вложи́
Imp PL,вложи́те
