Infinitive,влете́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,влете́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,влете́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,влете́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,влечу́
2nd Sing,влети́шь
3rd Sing,влети́т
1st Pl,влети́м
2nd Pl,влети́те
3rd Pl,влетя́т
Past M,влете́л
Past F,влете́ла
Past N,влете́ло
Past PL,влете́ли
Imp S,влети́
Imp PL,влети́те
