Infinitive,вля́паться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вля́павшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вля́павшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вля́паюсь
2nd Sing,вля́паешься
3rd Sing,вля́пается
1st Pl,вля́паемся
2nd Pl,вля́паетесь
3rd Pl,вля́паются
Past M,вля́пался
Past F,вля́палась
Past N,вля́палось
Past PL,вля́пались
Imp S,вля́пайся
Imp PL,вля́пайтесь
