Infinitive,вла́ствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вла́ствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вла́ствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вла́ствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вла́ствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,вла́ствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,вла́ствую
2nd Sing,вла́ствуешь
3rd Sing,вла́ствует
1st Pl,вла́ствуем
2nd Pl,вла́ствуете
3rd Pl,вла́ствуют
Past M,вла́ствовал
Past F,вла́ствовала
Past N,вла́ствовало
Past PL,вла́ствовали
Imp S,вла́ствуй
Imp PL,вла́ствуйте
