Infinitive,вле́зть
Zaliznyak Class,7a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вле́зший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вле́зши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вле́зу
2nd Sing,вле́зешь
3rd Sing,вле́зет
1st Pl,вле́зем
2nd Pl,вле́зете
3rd Pl,вле́зут
Past M,вле́з
Past F,вле́зла
Past N,вле́зло
Past PL,вле́зли
Imp S,вле́зь
Imp PL,вле́зьте
