Infinitive,влюбля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,влюбля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,влюбля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,влюбля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,влюбля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,влюбля́юсь
2nd Sing,влюбля́ешься
3rd Sing,влюбля́ется
1st Pl,влюбля́емся
2nd Pl,влюбля́етесь
3rd Pl,влюбля́ются
Past M,влюбля́лся
Past F,влюбля́лась
Past N,влюбля́лось
Past PL,влюбля́лись
Imp S,влюбля́йся
Imp PL,влюбля́йтесь
