Infinitive,вли́ть
Zaliznyak Class,11*b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вли́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вли́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вли́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вли́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,волью́
2nd Sing,вольёшь
3rd Sing,вольёт
1st Pl,вольём
2nd Pl,вольёте
3rd Pl,волью́т
Past M,вли́л
Past F,влила́
Past N,вли́ло
Past PL,вли́ли
Imp S,вле́й
Imp PL,вле́йте
